method,metric,aggregation,value
Average of Embeddings,generation_best_score,25%,2.50390625
Random Embedding - BASELINE,generation_best_score,25%,70.5
Weighted average with w_i = w_{i+1} * 5,generation_best_score,25%,2.54296875
Average of Embeddings,generation_best_score,50%,6.890625
Random Embedding - BASELINE,generation_best_score,50%,86.5
Weighted average with w_i = w_{i+1} * 5,generation_best_score,50%,6.890625
Average of Embeddings,generation_best_score,75%,10.6875
Random Embedding - BASELINE,generation_best_score,75%,106.125
Weighted average with w_i = w_{i+1} * 5,generation_best_score,75%,10.6875
Average of Embeddings,generation_best_score,count,564.0
Random Embedding - BASELINE,generation_best_score,count,564.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,count,564.0
Average of Embeddings,generation_best_score,max,25.625
Random Embedding - BASELINE,generation_best_score,max,227.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,max,24.75
Average of Embeddings,generation_best_score,mean,7.500827992216069
Random Embedding - BASELINE,generation_best_score,mean,97.87189716312056
Weighted average with w_i = w_{i+1} * 5,generation_best_score,mean,7.4972721532726965
Average of Embeddings,generation_best_score,min,-6.6875
Random Embedding - BASELINE,generation_best_score,min,22.625
Weighted average with w_i = w_{i+1} * 5,generation_best_score,min,-6.875
Average of Embeddings,generation_best_score,std,6.569451201934806
Random Embedding - BASELINE,generation_best_score,std,42.88430417965785
Weighted average with w_i = w_{i+1} * 5,generation_best_score,std,6.551121302634216
Average of Embeddings,new_token_rank,25%,111.0
Random Embedding - BASELINE,new_token_rank,25%,49162.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,25%,3.0
Average of Embeddings,new_token_rank,50%,297.5
Random Embedding - BASELINE,new_token_rank,50%,49178.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,50%,8.0
Average of Embeddings,new_token_rank,75%,812.5
Random Embedding - BASELINE,new_token_rank,75%,49189.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,75%,18.0
Average of Embeddings,new_token_rank,count,564.0
Random Embedding - BASELINE,new_token_rank,count,564.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,count,564.0
Average of Embeddings,new_token_rank,max,3892.0
Random Embedding - BASELINE,new_token_rank,max,49201.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,max,163.0
Average of Embeddings,new_token_rank,mean,576.0939716312057
Random Embedding - BASELINE,new_token_rank,mean,40590.835106382976
Weighted average with w_i = w_{i+1} * 5,new_token_rank,mean,14.852836879432624
Average of Embeddings,new_token_rank,min,3.0
Random Embedding - BASELINE,new_token_rank,min,0.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,min,1.0
Average of Embeddings,new_token_rank,std,678.8607869534529
Random Embedding - BASELINE,new_token_rank,std,18174.903025371077
Weighted average with w_i = w_{i+1} * 5,new_token_rank,std,18.858206323949478
Average of Embeddings,new_token_score,25%,-2.66796875
Random Embedding - BASELINE,new_token_score,25%,-108.5
Weighted average with w_i = w_{i+1} * 5,new_token_score,25%,0.8662109375
Average of Embeddings,new_token_score,50%,1.48046875
Random Embedding - BASELINE,new_token_score,50%,-65.0
Weighted average with w_i = w_{i+1} * 5,new_token_score,50%,5.5625
Average of Embeddings,new_token_score,75%,4.7734375
Random Embedding - BASELINE,new_token_score,75%,-19.5
Weighted average with w_i = w_{i+1} * 5,new_token_score,75%,9.515625
Average of Embeddings,new_token_score,count,564.0
Random Embedding - BASELINE,new_token_score,count,564.0
Weighted average with w_i = w_{i+1} * 5,new_token_score,count,564.0
Average of Embeddings,new_token_score,max,19.5
Random Embedding - BASELINE,new_token_score,max,117.5
Weighted average with w_i = w_{i+1} * 5,new_token_score,max,21.5
Average of Embeddings,new_token_score,mean,1.6458088759834886
Random Embedding - BASELINE,new_token_score,mean,-64.14755357241799
Weighted average with w_i = w_{i+1} * 5,new_token_score,mean,5.988320641483821
Average of Embeddings,new_token_score,min,-11.25
Random Embedding - BASELINE,new_token_score,min,-243.0
Weighted average with w_i = w_{i+1} * 5,new_token_score,min,-8.75
Average of Embeddings,new_token_score,std,5.785234182376349
Random Embedding - BASELINE,new_token_score,std,61.72497236947986
Weighted average with w_i = w_{i+1} * 5,new_token_score,std,6.431309156385917
